"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Apoe",0.840587882069308,33.0462333291557,2.12389366308437,0.0755003207506151,0.503689166258396,-4.50721505629363
"Psma5",0.738989800322408,27.6338083296727,2.12353904602941,0.07553819972264,0.503689166258396,-4.50724136120812
"Serpina3l",-0.610962237407421,31.3043476508562,-2.11637806983622,0.0763072511071787,0.503689166258396,-4.50777313431038
"Mgam",-0.542906753949254,30.560010364424,-2.11141339800851,0.0768450885818688,0.503689166258396,-4.50814246099576
"Angptl3",-2.16283887225423,28.2764167556322,-2.10282993364191,0.0777840423285324,0.503689166258396,-4.50878224411308
"Psgb1",0.666118475614908,25.4586833061311,2.09759266004205,0.0783626538030471,0.503689166258396,-4.5091733882702
"X.13",0.8271076564941,27.1521343091459,2.09496573967331,0.0786545138432242,0.503689166258396,-4.50936979929757
"Adipoq",0.838478400166434,26.9033072441815,2.08355239837571,0.0799354010923943,0.503689166258396,-4.51022485857661
"Actbl2",-0.520571327247396,25.8599961285926,-2.08334752380713,0.0799585853119213,0.503689166258396,-4.51024023243366
"C1s.1",1.02973443845827,27.6045543716609,2.08205240775521,0.0801053019012339,0.503689166258396,-4.51033743884589
"X.1",2.58455622803051,29.1070929411368,2.07946473270815,0.0803992608575891,0.503689166258396,-4.51053176547408
"X.33",1.06113304513208,26.8625189524744,2.07920079779468,0.0804293049669226,0.503689166258396,-4.51055159410472
"Hspa8.LOC102549957.LOC680121",-0.655966010035591,29.1942247002086,-2.05345420038157,0.0834152322108621,0.503689166258396,-4.51249284102886
"Lgals3bp",-0.421446560862826,30.6780941974793,-2.04885588405602,0.0839601651540944,0.503689166258396,-4.5128409879925
"X.26",-0.706684682695187,32.2637893488609,-2.04772210526134,0.0840950761280591,0.503689166258396,-4.51292689501152
"Cfd",0.930172407705008,26.865287442238,2.04724881361691,0.0841514587695625,0.503689166258396,-4.51296276434345
"Ldha",-0.717469285445528,29.0501271148261,-2.0312059079356,0.0860852996312487,0.507903267824367,-4.51418130050317
"Fcna.Fcn1",-0.621101349188795,28.3608675399027,-1.99438962301027,0.0906936678574189,0.525366790959084,-4.51699711419101
"Cd9",-0.701456904941033,29.2413213383313,-1.97748001873688,0.0928923209166138,0.525366790959084,-4.51829926492552
"Psmb3.RGD1564425",0.528156826738311,27.9515328662193,1.96798482653691,0.0941501935262605,0.525366790959084,-4.51903284386408
"RGD1565368.LOC685186.Gapdh.ps2.Gapdh.GAPDH.RGD1562758",-1.14192429433195,27.0423073494319,-1.96312273724092,0.0948008642998203,0.525366790959084,-4.51940913510826
"RGD1560687.LOC100362384.Ftl1.LOC100359668.RGD1566189.Fam65b",-0.586515860638791,27.3762700205122,-1.95863370620964,0.0954055915785261,0.525366790959084,-4.51975694587209
"Hspa5",-0.476278333880252,27.8343863583896,-1.93595152832257,0.0985204176872901,0.5353806908533,-4.52152003519975
"X.81",0.920108806882475,28.6699281423593,1.91367497295905,0.101677898067484,0.545363271452866,-4.52326060846649
"Psma7.Psma8",0.497959527457112,28.2755079782818,1.88868095582704,0.105340067933512,0.557762154571033,-4.52522378943768
"Capn5",-0.894833126926589,25.8588152187232,-1.86678891919276,0.10865461586063,0.568029827220761,-4.52695193319547
"F9",-0.443354935417492,25.6796141574749,-1.82090765370347,0.115937745882382,0.598528613117795,-4.53059847611095
"Ppia",-0.71509451824679,26.1889484208885,-1.80104913571784,0.119236488856612,0.606409082377889,-4.53218657768318
"Ctsr",-0.769864705666993,28.2426996755294,-1.77134598075207,0.124342126881471,0.606409082377889,-4.5345722434022
"RGD1565617",0.697173055313677,26.9496904019947,1.76026260307031,0.126301206003497,0.606409082377889,-4.53546542692468
"Tagln2",-0.848965208303262,26.0055721497664,-1.74813973930104,0.128478316103655,0.606409082377889,-4.53644415996324
"X.51",-1.9840973472475,27.0681674684045,-1.74048805605142,0.129871127349785,0.606409082377889,-4.53706284349338
"Sepp1",-0.546705987275789,27.7858124475014,-1.73956545717225,0.130040048883176,0.606409082377889,-4.53713748858756
"X.12",-0.551840056430425,25.4017921185442,-1.73676382423999,0.130554312052062,0.606409082377889,-4.53736422346417
"X.42",0.42799973047174,26.8452866483392,1.73623690527398,0.130651251886662,0.606409082377889,-4.53740687714892
"Actr2",0.656453806838272,24.676291694458,1.72823246817765,0.132132448833423,0.606409082377889,-4.53805522917907
"Aldoa.Aldoart2",-0.661480739718961,26.6631083906233,-1.72697851063313,0.13236595439077,0.606409082377889,-4.53815686570036
"LOC100912707",0.526664642031005,29.0991262640356,1.70777768349233,0.135991521258078,0.606409082377889,-4.53971534149044
"X.25",0.854802819011972,29.3412458053275,1.69997422317787,0.13749216280046,0.606409082377889,-4.54034986679911
"Pglyrp2",-0.387217381096686,30.0842019138319,-1.69072183383433,0.13929206434866,0.606409082377889,-4.54110302582616
"Ttyh3",-0.694320381874626,24.3027395003135,-1.68731460916063,0.139960565268806,0.606409082377889,-4.54138059648485
"X.3",0.44187262307894,28.439087398572,1.68012714484872,0.14138085692579,0.606409082377889,-4.5419664987442
"X.30",-0.539757402907689,28.1744692749717,-1.67691417926256,0.142020217484785,0.606409082377889,-4.54222857140349
"Ehd3",-0.920429960097724,24.9768362135138,-1.66327510247339,0.144765240931498,0.606409082377889,-4.54334213882182
"Reln",0.645252394756408,25.230067037104,1.65966784602896,0.145499678856323,0.606409082377889,-4.54363693411043
"Lbp",-0.64531111069283,24.5148242218376,-1.65809775937773,0.145820458595139,0.606409082377889,-4.54376528150387
