"","P17410_B_10","P17410_B_25","P17410_B_28","P17410_B_29","P17410_B_8","P17410_B_9"
"Fgl2",30.4506150442587,31.6959425932194,30.8612708158483,30.5682838085696,30.7855018580021,30.1627897500354
"Pdcd6",25.8821769535639,26.5465728109592,26.4194407519821,26.6901915517644,24.6901382558025,NA
"F13a1",29.8701484226921,30.1351612835319,29.89710757498,29.8232611520834,29.5749016873341,29.6479765081409
"Clu",32.0632326433706,32.1239230361118,32.2072857048082,32.3006478481858,32.0876832555874,32.2894229364139
"F2",33.3436090838758,33.1493899860312,33.2683540455279,33.4839975178506,33.3250931000029,33.3508704332018
"Tln1",30.065738159401,31.2483026402965,30.915346004424,30.3703604219024,31.0265699176504,28.8125907331208
"Prl8a4",26.8402614075667,26.7034541478395,27.464508857697,26.7554452805652,27.4081932780393,27.1679655151009
"Gpld1",28.3667804283317,28.2902197702171,28.6495533740462,28.3932526396929,28.2424993904227,28.4109850828683
"Apoc2",29.8823868832394,29.3768317774646,30.2236600888725,30.5381588496947,30.8770124057021,30.4967658719372
"Psmb4",28.0310741864153,28.4644699075211,27.5796744442613,27.4496315449767,28.3289437237403,27.9671374972511
"Psgb1",26.134867625077,NA,25.5603713213662,NA,25.3948967554266,25.845463251312
"Gp5",24.759895495739,25.1089681735655,25.0712017744387,25.3910985501792,25.1534456504012,25.6054924041188
"LOC297568",30.7085772488986,29.5390468442083,30.5502293687959,30.7015716606533,30.3165681140542,30.316136492498
"Afm",32.6030875222087,32.3898982777903,32.6941789959066,32.7687825551935,32.4162907835178,32.7668294879517
"crp.Crp",32.8399048923668,32.6727616536232,32.450492143508,32.7627372380671,32.5710223374209,32.924011292142
"X.74",29.1305046574256,28.16341374271,29.8958083438321,29.8071643526946,29.1463976436883,25.0389216677725
"RGD1560687.LOC100362384.Ftl1.LOC100359668.RGD1566189.Fam65b",27.4679323617196,27.4526978480245,27.5813995543757,27.9744864500946,26.6592167915928,27.121887117266
"Eno1.Eno3.Eno2",25.3952891030889,24.9416770227985,25.2890501968579,25.2010880195848,NA,NA
"Pros1",27.2333391017793,27.8956783563423,28.3988480497842,27.2063893063646,27.7945777874506,26.0851307340611
"X.76",25.5924344530068,26.1030756600321,NA,26.6182091571881,29.7256757178961,28.2411358703406
"X.77",25.2460838404993,25.3884075664284,24.9980452974395,NA,25.3986197571908,NA
"X.78",31.0038351844562,NA,NA,NA,29.0197472764332,29.3305473479662
"X.79",28.2769294588638,27.5695699802371,28.1036960062022,27.0193496170326,27.6958430592553,27.8976990592531
"X.80",27.6710116670966,27.391655809441,26.3663969257441,26.4984141596183,26.9357328438941,26.072388117244
"X.81",28.8323146446348,NA,27.9701583891187,28.1011428731006,30.1437001308872,28.4139328618796
"Tubb1",29.1799468545386,31.0340692384746,30.6267968608199,30.0450502976001,30.2002275243518,29.5047234146669
"X.82",28.3418503067386,28.1005414786954,27.7295542598891,28.4229406871393,29.0701475655457,27.9955567864417
"LOC680329.1",27.1964802623986,26.850074069264,27.7252043896748,27.0161643897138,28.7242938026299,26.9454774148148
"Thbs1",30.3633795418,31.4539048902375,29.8437992637178,28.2538122192392,30.8172649426636,29.9061265610523
"X.83",30.9508117859278,30.6458999591394,30.7008278969039,31.1691370675555,30.2400213721888,29.9781469359445
"LOC691828",32.3624131044294,31.2973988718618,33.1402906541868,32.2606080508129,32.9414321691741,32.1430614674594
"X.84",25.5827638051071,26.8274770341304,25.2773907068672,24.8115683331704,NA,24.2830555616607
"X.85",30.1111045002973,30.4687869698628,30.4589478285069,30.4246234108636,30.5953045534555,29.8846591655416
"C3",38.51062664927,38.5865821148133,38.5068271203806,38.1711484532005,38.5434074778181,38.7277096014055
"X.86",30.1411437790511,30.5066350339028,29.7674137124628,29.5806630409504,31.09194425676,28.5964069196684
"X.87",27.5531076649264,NA,28.2437708475301,27.6088653812315,28.583732357791,27.1815826843345
"X.88",28.2095997944526,28.6168079381183,24.6867232125014,26.6637020687794,25.5934891484593,28.4960991701405
"X.89",33.3413572525694,32.6672515109703,32.8484183792385,33.4165173037923,32.8416678447707,31.874669416895
"Itgb3",27.0722449896932,28.0900267855409,NA,26.9042612233284,NA,27.1756945126079
"X.90",31.0940857822085,30.1585827629733,31.2938959875347,31.3883849835956,30.6475305595793,31.4746487364584
"X.91",28.6105207569956,28.651299626074,27.8352094437819,27.8475674210631,29.0550433675683,28.2147958590005
"Lcat",25.2312894547772,24.0905518204846,25.6825233797251,25.2453585947679,NA,24.1332024304938
"RT1.Aw2.RT1.A2.RT1.Ak.RT1.A2b.RT1.A1b.RT1.CE10.RT1.A.n.",27.419890760465,28.7072117691614,NA,26.4885190512186,28.1049958666728,25.6488337142842
"Lgals3bp",30.5322248771505,30.9313572215628,30.7709298482832,30.9641653638862,30.4379753353986,30.4319125385946
"Clec11a",24.1692852370235,24.110362871196,NA,24.3495560669049,24.597927513291,23.4063939514105
"Agt",29.3546844794713,30.1615890050298,29.9706246904108,30.3465708461262,29.1634377370393,29.8895266848877
"C3.1",26.8759585315943,26.8294140253297,26.624916129264,26.4088411343694,26.9445841051634,26.67815006911
"X.92",29.2674501606683,28.9231187588354,28.1788790088599,28.6796943152581,29.2983060451,28.5031695417762
"X.93",28.1765507397007,NA,NA,NA,NA,33.2721141486366
"X.94",NA,NA,27.5118648292131,27.953381392909,24.0742270648166,24.4542520958071
"Hbb",32.5820818410003,32.3749524759558,34.4625844357918,33.8296975460225,34.070000375601,33.4795475358712
"Apoa4",32.3112447593586,32.6853076366874,32.5666291206474,32.284025868909,32.4355930119605,32.3445617421421
"Fgg",29.7841917065203,29.7752384222422,30.887654270555,30.5940589332379,32.222739268646,31.9300884843922
"Ttr",32.1139629227287,31.8715884581953,32.2336933771566,32.6054076253146,32.0683354440568,32.4139227770171
"Alb",39.0314197392121,38.865097870908,38.8751193187625,39.1055628216712,38.9464390235235,39.0507275461687
"Afp",30.1480719373868,30.4268240138625,29.9852229869273,30.3655712155212,30.2966880364883,30.5369554852458
"Gc",34.297412538341,34.3512654576302,34.3697106470678,34.3102698372884,34.3057250575589,34.4416527601337
"Apoa2",32.928147978915,32.1154210209943,32.4767261210537,33.1759770047973,32.9068075255966,32.6291660507166
"Apoa1",35.4849278725893,35.0458802791467,35.7419393695079,35.7296099683642,35.2341717965339,35.2251839057319
"Aldoa.Aldoart2",26.1709857061562,27.3506017547952,26.7601493796008,26.8707951470524,27.0384193657744,NA
